title,artist,link
Untitled (1997),Sena K.,collections.ed.ac.uk/art/record/21923?highlight=*:*
Unknown (1968),Gillian Mather,collections.ed.ac.uk/art/record/53589?highlight=*:*
Untitled (Dec 1970),Kathryn M. Buchan,collections.ed.ac.uk/art/record/21869?highlight=*:*
Ayrshire christening robe (1800-1899),Unknown,collections.ed.ac.uk/art/record/102679?highlight=*:*
Untitled (1965),Laura McPherson,collections.ed.ac.uk/art/record/22482?highlight=*:*
The Thinker (1969),Marko Krsmanovic,collections.ed.ac.uk/art/record/21647?highlight=*:*
Untitled (1962),Ethel V Hope,collections.ed.ac.uk/art/record/99836?highlight=*:*
November III (St Andrews) (1991),Wilhelmina Barns-Graham CBE HRSA HRSW,collections.ed.ac.uk/art/record/54749?highlight=*:*
Winter Fence (1977),Alfons Bytautas,collections.ed.ac.uk/art/record/21549?highlight=*:*
untitled (1984),David Hosie,collections.ed.ac.uk/art/record/112340?highlight=*:*
Unknown (Unknown),Unknown,collections.ed.ac.uk/art/record/21866?highlight=*:*
Untitled (1967),Ian Roy,collections.ed.ac.uk/art/record/21757?highlight=*:*
Whitework baby's bonnet,Unknown,collections.ed.ac.uk/art/record/102708?highlight=*:*
Four Abstract Panels,L Henniker,collections.ed.ac.uk/art/record/21460?highlight=*:*
Sleeping Female Nude (1950),Alexander F Mitchell,collections.ed.ac.uk/art/record/21057?highlight=*:*
Abstract Female Nude (1965),William Gillon,collections.ed.ac.uk/art/record/21312?highlight=*:*
Untitled (2003),Sarah Jamieson,collections.ed.ac.uk/art/record/99925?highlight=*:*
Standing Female Nude,Unknown,collections.ed.ac.uk/art/record/22730?highlight=*:*
For Mayte Carrasco (Unknown),Elspeth Lamb,collections.ed.ac.uk/art/record/21887?highlight=*:*
"The Beach, Summer Composition (1958)",Robert M E Callender,collections.ed.ac.uk/art/record/22590?highlight=*:*
Portrait of Seated Woman (25 Jan 1966),George Donald,collections.ed.ac.uk/art/record/21175?highlight=*:*
Standing Male Nude (1952),David Michie,collections.ed.ac.uk/art/record/21387?highlight=*:*
Head of Lorenzo de' Medici (Circa 1836),Aristodemo Costoli,collections.ed.ac.uk/art/record/20541?highlight=*:*
Portrait of a Young Man (Circa 1950),John D Cowan,collections.ed.ac.uk/art/record/21336?highlight=*:*
Abstract with Blue Stripes (quadriptych) (1969),Ian G. Robertson,collections.ed.ac.uk/art/record/22570?highlight=*:*
Untitled - Portrait of a Nude Female (1972),Lindsay R S Gordon,collections.ed.ac.uk/art/record/99421?highlight=*:*
Bridge at Night,H. Livingstone,collections.ed.ac.uk/art/record/22535?highlight=*:*
Queen Anne chair cover (1700-1750),Unknown,collections.ed.ac.uk/art/record/102711?highlight=*:*
Performing Labour in an Industrial Setting II (2020),Aisling Ward,collections.ed.ac.uk/art/record/113776?highlight=*:*
Unknown,Ruari MacLeod,collections.ed.ac.uk/art/record/50437?highlight=*:*
Untitled (1967),Rosemary Seaton,collections.ed.ac.uk/art/record/22475?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20718?highlight=*:*
Unknown (1960),Hugh Deans,collections.ed.ac.uk/art/record/53573?highlight=*:*
Four Portraits of a Bearded Man (1955),Peter McGinn,collections.ed.ac.uk/art/record/21088?highlight=*:*
Curtain (1961),Unknown,collections.ed.ac.uk/art/record/100008?highlight=*:*
Unknown (1950),Valerie A. Cockburn (Gage),collections.ed.ac.uk/art/record/50552?highlight=*:*
Self Portrait (1965),John Bellany,collections.ed.ac.uk/art/record/20740?highlight=*:*
Life Drawing (Male Nude Reclining on Front) (1962),John Bellany,collections.ed.ac.uk/art/record/20763?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),NA,collections.ed.ac.uk/art/record/20690?highlight=*:*
Empty Potato Field,Frances M. Walker,collections.ed.ac.uk/art/record/22693?highlight=*:*
Untitled (2004),Rebecca Firth,collections.ed.ac.uk/art/record/21818?highlight=*:*
Untitled (1946),Eileen Bennett,collections.ed.ac.uk/art/record/21733?highlight=*:*
Still Life (Circa 1970),Patrick J. Hickey,collections.ed.ac.uk/art/record/22606?highlight=*:*
"Metope 9, south entablature, Parthenon (1837)",NA,collections.ed.ac.uk/art/record/20645?highlight=*:*
Untitled (1989),Joanne Leonie Milne,collections.ed.ac.uk/art/record/21562?highlight=*:*
The Strike (1953),Robert Marx,collections.ed.ac.uk/art/record/21691?highlight=*:*
Central Park in the Dark Some 40 Years Ago (1974-1976),"Eduardo Luigi Paolozzi KBE, RA",collections.ed.ac.uk/art/record/21000?highlight=*:*
Preparatory sketch for main composition (1960),Marjory Dickson,collections.ed.ac.uk/art/record/53529?highlight=*:*
Unknown,Nugent,collections.ed.ac.uk/art/record/50429?highlight=*:*
Study for picture 'Waking of Brynhildr' (1897),Pavlov Chailly,collections.ed.ac.uk/art/record/50472?highlight=*:*
Untitled,Marjorie-Ann Ancell,collections.ed.ac.uk/art/record/21612?highlight=*:*
Limits (2014),Phoebe Mitchell,collections.ed.ac.uk/art/record/54759?highlight=*:*
Cushendun (08 Apr 1968),Unknown,collections.ed.ac.uk/art/record/21496?highlight=*:*
Untitled - Snowy Landscape (1962),Geoffrey J Roper,collections.ed.ac.uk/art/record/99368?highlight=*:*
Seated Female Nude (1953),Lilias Stirling,collections.ed.ac.uk/art/record/20944?highlight=*:*
Plate,Emma Gillies,collections.ed.ac.uk/art/record/53670?highlight=*:*
Madonna of the Roses (2007),Rachael Cawley,collections.ed.ac.uk/art/record/99968?highlight=*:*
Standing Male Nudes (1950),Sheila Robertson,collections.ed.ac.uk/art/record/20808?highlight=*:*
Untitled - Still Life with Flowers and Pitchers (1963),Helen Wishart,collections.ed.ac.uk/art/record/99452?highlight=*:*
Portrait of a Woman (1956),John Sprakes DA (Edinburgh) PG (Edinburgh) ROI RBA MAFA,collections.ed.ac.uk/art/record/21184?highlight=*:*
Untitled (2003),Andrea Bain,collections.ed.ac.uk/art/record/99938?highlight=*:*
Untitled - Abstract Figures and Shapes (1965-1966),James B. Thomson,collections.ed.ac.uk/art/record/99449?highlight=*:*
Untitled (1963),Andrew Raeburn,collections.ed.ac.uk/art/record/22018?highlight=*:*
Untitled (1963),Madelane Galloway,collections.ed.ac.uk/art/record/22005?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20721?highlight=*:*
Figure of a river-god from west pediment,NA,collections.ed.ac.uk/art/record/20633?highlight=*:*
Two Seated Men (1949),Douglas Gordon,collections.ed.ac.uk/art/record/21100?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21563?highlight=*:*
William Shakespeare Otelo (1983),Boris Bućan,collections.ed.ac.uk/art/record/22040?highlight=*:*
Untitled,A. Parkinson,collections.ed.ac.uk/art/record/112501?highlight=*:*
Striding Male Nude (1950),Alexander F Mitchell,collections.ed.ac.uk/art/record/21054?highlight=*:*
Treasure on a Loch,John Brown,collections.ed.ac.uk/art/record/22603?highlight=*:*
Seated Male Nude (1965),J Lord,collections.ed.ac.uk/art/record/21291?highlight=*:*
The Misadventure (1989),John Brown,collections.ed.ac.uk/art/record/99468?highlight=*:*
Unknown (1960),Robin E. Bownass,collections.ed.ac.uk/art/record/50606?highlight=*:*
Woman Seated (1954),John P Busby,collections.ed.ac.uk/art/record/21380?highlight=*:*
Untitled (12 Jun 2014),Norman Orr,collections.ed.ac.uk/art/record/22479?highlight=*:*
Portrait of a Young Woman (1965),Irene Scott,collections.ed.ac.uk/art/record/21292?highlight=*:*
Drawing of a Man's Head (1955),James Robertson,collections.ed.ac.uk/art/record/20804?highlight=*:*
Self Portrait against Window (Circa 1983),Gwen W. Hardie,collections.ed.ac.uk/art/record/22593?highlight=*:*
Seated Female Nude (Circa 1968),Alan T. Johnston,collections.ed.ac.uk/art/record/20748?highlight=*:*
Untitled - Figured Drawing of Nude Woman on a Couch (1963),Gordon Bryce,collections.ed.ac.uk/art/record/99329?highlight=*:*
Male Nude Leaning on a Table (verso),Unknown,collections.ed.ac.uk/art/record/22650?highlight=*:*
Virgin and Child,Unknown,collections.ed.ac.uk/art/record/20571?highlight=*:*
Sienna Cathedral (1982),Ann Oram,collections.ed.ac.uk/art/record/102660?highlight=*:*
Plate,Emma Gillies,collections.ed.ac.uk/art/record/53674?highlight=*:*
Unknown (1950),Zygmunt Bukowski,collections.ed.ac.uk/art/record/53557?highlight=*:*
Portrait of Head of a Woman (1952),Frances Walker,collections.ed.ac.uk/art/record/20846?highlight=*:*
Woman with Fish on her Head,John Bellany,collections.ed.ac.uk/art/record/21530?highlight=*:*
Unknown (1952),Rosemary Bagshaw,collections.ed.ac.uk/art/record/53513?highlight=*:*
Portrait of Woman in White Blouse (1962),Elizabeth G. Kellar,collections.ed.ac.uk/art/record/22714?highlight=*:*
Seated Nude (1953),Robert L Thompson,collections.ed.ac.uk/art/record/21121?highlight=*:*
Untitled (1977),Eve F. Thomson,collections.ed.ac.uk/art/record/99826?highlight=*:*
etc (2006),Catherine Robbie,collections.ed.ac.uk/art/record/99865?highlight=*:*
Portrait of a Seated Woman (1958),Peter Standen,collections.ed.ac.uk/art/record/20865?highlight=*:*
Racing Circuit (1987-1988),Jane V Hyslop,collections.ed.ac.uk/art/record/21456?highlight=*:*
Standing Male Nude (1958),Andrew P. W. Conkie,collections.ed.ac.uk/art/record/22716?highlight=*:*
"Still Life with Jug of Flowers, Goblet and Fruit",Sir William George Gillies,collections.ed.ac.uk/art/record/20753?highlight=*:*
Unknown (1949),Margaret Moodie,collections.ed.ac.uk/art/record/50492?highlight=*:*
Art Magazine Ads (1988-1989),Jeff Koons,collections.ed.ac.uk/art/record/21365?highlight=*:*
Unknown,Unknown,collections.ed.ac.uk/art/record/50397?highlight=*:*
Seated Female Nude (1994-1995),Nicholas Otter,collections.ed.ac.uk/art/record/21510?highlight=*:*
Portrait of a Woman (1959),William D. MacKay,collections.ed.ac.uk/art/record/22715?highlight=*:*
Untitled - Abstract Road (1965),Laura McPherson,collections.ed.ac.uk/art/record/99393?highlight=*:*
Standing Male Nude (1960),Thomas T Robertson,collections.ed.ac.uk/art/record/20806?highlight=*:*
Abstract Composition (1962),James T Carlyle,collections.ed.ac.uk/art/record/21280?highlight=*:*
Untitled - City Highrise (Feb 1962),William Gillon,collections.ed.ac.uk/art/record/99482?highlight=*:*
Sugar Bowl Lid,Emma Gillies,collections.ed.ac.uk/art/record/53725?highlight=*:*
Horse of Selene from the east pediment,NA,collections.ed.ac.uk/art/record/20634?highlight=*:*
Abstract Composition with Blue Stripes (1969),Ian G. Robertson,collections.ed.ac.uk/art/record/22562?highlight=*:*
Untitled (1987),Pamela Richardson,collections.ed.ac.uk/art/record/21570?highlight=*:*
Portrait of a Woman (1955),Edith Duke,collections.ed.ac.uk/art/record/21218?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21881?highlight=*:*
Seated Male Nude (1955),J Salter,collections.ed.ac.uk/art/record/21193?highlight=*:*
Portrait of a Man Seated (1959),C Byron,collections.ed.ac.uk/art/record/20914?highlight=*:*
Portrait of a Woman's Head (1948),Thomson,collections.ed.ac.uk/art/record/20842?highlight=*:*
Seated Male Nude with Foot Resting on Stool (1961),Plehakraborty,collections.ed.ac.uk/art/record/21296?highlight=*:*
Standing Male Nude (1952),Adam Robson,collections.ed.ac.uk/art/record/20809?highlight=*:*
Seated Male Nude (1959),Violet Thompson,collections.ed.ac.uk/art/record/21146?highlight=*:*
Summer Fayre,Unknown,collections.ed.ac.uk/art/record/22658?highlight=*:*
Untitled (1983),Robert Rivers,collections.ed.ac.uk/art/record/99801?highlight=*:*
Bust of Queen Nefertiti (White),Unknown,collections.ed.ac.uk/art/record/20622?highlight=*:*
Untitled (1960),Elizabeth M. Hansen,collections.ed.ac.uk/art/record/99838?highlight=*:*
Unknown (1958),Andrew P. W. Conkie,collections.ed.ac.uk/art/record/50524?highlight=*:*
Light Around Limbo (2016),Joseph Glover,collections.ed.ac.uk/art/record/99263?highlight=*:*
Reclining Female Nude (Jan 1958),Walter Miller,collections.ed.ac.uk/art/record/20906?highlight=*:*
Untitled (Unknown),Catherine Fairgrieve,collections.ed.ac.uk/art/record/21721?highlight=*:*
Unknown,Kenneth Dingwall,collections.ed.ac.uk/art/record/50629?highlight=*:*
Untitled (1960),Robert L Snowden,collections.ed.ac.uk/art/record/21538?highlight=*:*
Composition (1987),Gordon W. Boyd,collections.ed.ac.uk/art/record/22564?highlight=*:*
"Commercial Street, Leith (1950)",John W. Corner,collections.ed.ac.uk/art/record/21828?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20722?highlight=*:*
Reclining Male Nude (25 Nov 1949),Adam Robson,collections.ed.ac.uk/art/record/20811?highlight=*:*
Still Life Fish (1953),Ian J. D. Short,collections.ed.ac.uk/art/record/22681?highlight=*:*
Portrait of a Young Woman (1960),William Hillary,collections.ed.ac.uk/art/record/20984?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20672?highlight=*:*
Portrait of a Woman,V Timmins,collections.ed.ac.uk/art/record/21442?highlight=*:*
That's a Novel Concept (2007),Hannah Jasper,collections.ed.ac.uk/art/record/99970?highlight=*:*
Untitled (1966),Alistair T Hamilton,collections.ed.ac.uk/art/record/99843?highlight=*:*
Untitled (1976),Ruth Stiven,collections.ed.ac.uk/art/record/99492?highlight=*:*
Seated Male Nude (1957),Hylda M Sutcliffe,collections.ed.ac.uk/art/record/20830?highlight=*:*
No 98 (1960),John Johnstone,collections.ed.ac.uk/art/record/99207?highlight=*:*
Untitled - Semi-Nude Woman Combing Her Hair (1961-1962),Ann F Ward,collections.ed.ac.uk/art/record/99353?highlight=*:*
Untitled (1967),Sam Rae,collections.ed.ac.uk/art/record/21756?highlight=*:*
Step 2 (2013),Maria Hadam,collections.ed.ac.uk/art/record/21307?highlight=*:*
View of a House,Lynne Coyle,collections.ed.ac.uk/art/record/21493?highlight=*:*
"Couplings, Paper bags (2017)",Tessa Lynch,collections.ed.ac.uk/art/record/102737?highlight=*:*
Momen (2005),Tadas Gindrenas,collections.ed.ac.uk/art/record/99901?highlight=*:*
Untitled (1987),Henry Rodgers,collections.ed.ac.uk/art/record/99799?highlight=*:*
Acteon (1838),Sarti,collections.ed.ac.uk/art/record/20582?highlight=*:*
Unknown,Unknown,collections.ed.ac.uk/art/record/53511?highlight=*:*
Unknown (1943),W C G Thomson,collections.ed.ac.uk/art/record/50451?highlight=*:*
Landscape (1953),Iain West,collections.ed.ac.uk/art/record/20851?highlight=*:*
Unknown,Valerie Samuel,collections.ed.ac.uk/art/record/53535?highlight=*:*
Portrait of a Woman,Samuel John Peploe,collections.ed.ac.uk/art/record/53886?highlight=*:*
Untitled (2006),Greggory Bradford,collections.ed.ac.uk/art/record/99877?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21816?highlight=*:*
Untitled,Dr Ainslie Yule,collections.ed.ac.uk/art/record/99532?highlight=*:*
Kneeling Male Nude (1953),Peter Brady,collections.ed.ac.uk/art/record/20967?highlight=*:*
Unknown (1949),Shand C. Hutchison,collections.ed.ac.uk/art/record/50530?highlight=*:*
Untitled,Peter Pretsell,collections.ed.ac.uk/art/record/99795?highlight=*:*
Rough study of female seated figure with head tilted back (1960),Jean Cochrane,collections.ed.ac.uk/art/record/53521?highlight=*:*
Nude in Veil,Anna Millar,collections.ed.ac.uk/art/record/22637?highlight=*:*
Book holder,Winsome Douglass,collections.ed.ac.uk/art/record/113838?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21917?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/99921?highlight=*:*
Portrait of a Man,A Sinclair,collections.ed.ac.uk/art/record/21483?highlight=*:*
Standing Female Nude (1952),Douglas Kerr,collections.ed.ac.uk/art/record/21224?highlight=*:*
Step 4 (2013),Maria Hadam,collections.ed.ac.uk/art/record/21309?highlight=*:*
Untitled (1983),Robert Rivers,collections.ed.ac.uk/art/record/99802?highlight=*:*
Thurs 2nd Sept '82 Along from Rialto (02 Sep 1982),Moira A Edmondston,collections.ed.ac.uk/art/record/99431?highlight=*:*
Portrait of a Woman (Carole Danielson) (1964),Kirkland Main,collections.ed.ac.uk/art/record/21168?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21556?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21984?highlight=*:*
Untitled - Two Sitting Nude Women (1983-1984),Robert Maclaurin,collections.ed.ac.uk/art/record/99427?highlight=*:*
Brazie (1969),"Eduardo Luigi Paolozzi KBE, RA",collections.ed.ac.uk/art/record/21701?highlight=*:*
Portrait of a Young Man (1950),Joseph Maxwell,collections.ed.ac.uk/art/record/21060?highlight=*:*
Unknown (1949),Betty Elston,collections.ed.ac.uk/art/record/50584?highlight=*:*
Bar at 1732 St Charles (02 Aug 1973),Jonathan Woodham,collections.ed.ac.uk/art/record/21433?highlight=*:*
Untitled (1967),Helen Pollock,collections.ed.ac.uk/art/record/112446?highlight=*:*
Untitled,Jean M. A. Conacher,collections.ed.ac.uk/art/record/112353?highlight=*:*
Seated Female Nude (1964),William Gillon,collections.ed.ac.uk/art/record/21342?highlight=*:*
Portrait Male (1975),Andrew J. Neil,collections.ed.ac.uk/art/record/22726?highlight=*:*
Landscape,Donald Clark,collections.ed.ac.uk/art/record/21487?highlight=*:*
Unknown (1950),Zygmunt Bukowski,collections.ed.ac.uk/art/record/53556?highlight=*:*
Small black figure with long wavy hair,Unknown,collections.ed.ac.uk/art/record/20546?highlight=*:*
Chinese sleeveband.figures,Unknown,collections.ed.ac.uk/art/record/102700?highlight=*:*
Espresso Saucer,Emma Gillies,collections.ed.ac.uk/art/record/53685?highlight=*:*
The Repairable Flatpack Toaster (2017),Kasey Hou,collections.ed.ac.uk/art/record/100020?highlight=*:*
Processions Banner (2018),Lindy Richardson,collections.ed.ac.uk/art/record/102750?highlight=*:*
Horses of Helios from East Pediment,NA,collections.ed.ac.uk/art/record/20635?highlight=*:*
Self Portrait (1947),Marjorie Wallace,collections.ed.ac.uk/art/record/50441?highlight=*:*
Untitled - Print of Dining Table with Window (1962),Ann F Ward,collections.ed.ac.uk/art/record/99336?highlight=*:*
Performing Labour in an Industrial Setting III (2020),Aisling Ward,collections.ed.ac.uk/art/record/113777?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/99918?highlight=*:*
Untitled - Two Girls On a Walk (1987),Susan Jane Mowatt,collections.ed.ac.uk/art/record/99414?highlight=*:*
Man with Wooden Leg Pulling Cart of Flowers (1958-1959),Peter Standen,collections.ed.ac.uk/art/record/20795?highlight=*:*
"Still Life with White Lace, Fish and Edinburgh Castle (1967)",Marie Waugh,collections.ed.ac.uk/art/record/22580?highlight=*:*
